tipo,step,semaforo_id,queue_length,veh_id,delay,waiting_time,stops,pos_x,pos_y,speed
vehiculo,18,308512668,,veh7,2.9527680757308588,0.0,1.0,1859.0390191687086,1008.1328045858747,11.214248701278118
vehiculo,18,308495742,,veh9,1.5578106772817648,0.0,1.0,1485.8096821686354,1141.24358516321,4.168839388340713
semaforo,18,308495742,0.0,,,,,,,
semaforo,18,308512653,0.0,,,,,,,
semaforo,18,308512659,0.0,,,,,,,
semaforo,18,308512668,0.0,,,,,,,
semaforo,18,308512669,0.0,,,,,,,
semaforo,18,308512670,0.0,,,,,,,
semaforo,18,308512701,0.0,,,,,,,
semaforo,18,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,18,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,19,joinedS_308495840_308495841,,truck1,5.523125803623605,0.0,0.0,1938.7535208309557,291.45370427477906,9.619851137800124
vehiculo,19,308512670,,truck2,6.30596976064556,0.0,1.0,1512.1397345354678,692.1181264772139,9.769704412575813
vehiculo,19,308495742,,truck4,1.9028244868287025,0.0,1.0,1652.4246278723979,1273.6136208597272,1.6344150016084318
vehiculo,19,308495742,,veh1,3.4716304618868037,0.0,0.0,1998.0984651883487,1232.335814828546,13.123889025854693
vehiculo,19,308512653,,veh10,1.4834693475392804,0.0,1.0,881.639194522193,959.369699984736,3.2834648790303618
vehiculo,19,308512670,,veh11,0.0,0.0,1.0,1209.2433859309783,482.8103593606841,0.0
vehiculo,19,308512659,,veh2,6.026023912831976,0.0,1.0,257.28389080104864,457.21401224221637,7.849399837830922
vehiculo,19,joinedS_308495840_308495841,,veh3,2.6147321871059646,0.0,0.0,1770.2199999949319,57.04352886011422,11.417914204846682
vehiculo,19,joinedS_308495840_308495841,,veh4,3.665804921280653,0.0,1.0,1925.113201130607,244.55670573097925,15.829175347544084
vehiculo,19,308495742,,veh5,5.818966589315192,0.0,1.0,1560.790996279212,1210.1234949223297,7.6061537371696595
vehiculo,19,joinedS_308495840_308495841,,veh6,5.9202487995809,0.0,1.0,1506.1633483073933,125.43919797609279,14.496052805404178
vehiculo,19,308495742,,veh7,2.976441403084081,0.0,1.0,1855.5925198346156,1020.4524907850418,12.792258719774045
vehiculo,19,308495742,,veh9,2.1261937362153347,0.0,1.0,1485.071903350891,1135.0626520967255,6.224773913039827
semaforo,19,308495742,0.0,,,,,,,
semaforo,19,308512653,0.0,,,,,,,
semaforo,19,308512659,0.0,,,,,,,
semaforo,19,308512668,0.0,,,,,,,
semaforo,19,308512669,0.0,,,,,,,
semaforo,19,308512670,0.0,,,,,,,
semaforo,19,308512701,0.0,,,,,,,
semaforo,19,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,19,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,20,joinedS_308495840_308495841,,truck1,5.761923018018782,0.0,0.0,1941.309919687535,281.1572896909487,10.609055254803954
vehiculo,20,308512670,,truck2,6.522143829670057,0.0,1.0,1523.0928550671551,691.1154291551871,10.999481805716643
vehiculo,20,308495742,,truck4,2.8024591787438595,0.0,1.0,1650.3179320236559,1272.0962490784764,2.596881288057194
vehiculo,20,308495742,,veh1,3.553729257440427,0.0,0.0,1985.8017593467002,1229.3500209413708,12.654025371786952
vehiculo,20,308512653,,veh10,1.86027181029376,0.0,1.0,881.1936280718867,953.5832929014804,5.804277395433746
vehiculo,20,308512670,,veh11,0.9015092305381422,0.0,1.0,1211.5872310563748,482.62148245291803,2.3515055323019625
vehiculo,20,308512659,,veh2,6.385782460380996,0.0,1.0,258.0284088910535,466.5486968166496,9.364280324594937
vehiculo,20,joinedS_308495840_308495841,,veh3,2.7229368854467424,0.0,0.0,1759.98189411209,57.89990726162363,10.273808272194662
vehiculo,20,joinedS_308495840_308495841,,veh4,3.699789978870733,0.0,1.0,1909.4071838289165,242.02866123023486,15.908318615367467
vehiculo,20,308495742,,veh5,6.2760246814217755,0.0,1.0,1563.9018214955659,1200.6377486877911,9.979618121076344
vehiculo,20,joinedS_308495840_308495841,,veh6,6.390361835647287,0.0,1.0,1489.9824717448485,126.77540932567138,16.236446623457596
vehiculo,20,308495742,,veh7,3.052958291162419,0.0,1.0,1852.3325618518477,1032.1053754883374,12.099879294517532
vehiculo,20,308495742,,veh9,2.521017133497029,0.0,1.0,1484.0374525775342,1126.3962729097495,8.727849097107539
semaforo,20,308495742,0.0,,,,,,,
semaforo,20,308512653,0.0,,,,,,,
semaforo,20,308512659,0.0,,,,,,,
semaforo,20,308512668,0.0,,,,,,,
semaforo,20,308512669,0.0,,,,,,,
semaforo,20,308512670,0.0,,,,,,,
semaforo,20,308512701,0.0,,,,,,,
semaforo,20,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,20,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,21,joinedS_308495840_308495841,,truck1,5.920327947351225,0.0,0.0,1944.1363053984699,269.773448324136,11.729500700379706
vehiculo,21,308512670,,truck2,6.667017301442023,0.0,1.0,1535.0423244115393,690.021521635719,12.000047864101363
vehiculo,21,308495742,,truck4,3.652523887193734,0.0,1.0,1647.170748377076,1269.8294540598285,3.8794695146731106
vehiculo,21,308495742,,veh1,3.6319927723363747,0.0,0.0,1973.488176347731,1226.2223360993517,12.706897879759596
vehiculo,21,308512653,,veh10,2.012058846178956,0.0,1.0,880.58718273644,945.7076110986341,7.9000044767279185
vehiculo,21,308512670,,veh11,1.7352813164255387,0.0,1.0,1215.5430584737705,482.3027052256353,3.9687562783248724
vehiculo,21,joinedS_308495714_4152158087,,veh12,0.0,0.0,1.0,719.952720232333,289.84541142303965,0.0
vehiculo,21,308512659,,veh2,6.607489631304389,0.0,1.0,258.93346289583604,477.89616274245157,11.383443227855375
vehiculo,21,joinedS_308495840_308495841,,veh3,2.7471080752770902,0.0,0.0,1748.7790556765697,58.836981851549254,11.241905046498948
vehiculo,21,joinedS_308495840_308495841,,veh4,3.740100713115318,0.0,1.0,1893.8789215164302,239.09289882944407,15.804147473431954
vehiculo,21,308495742,,veh5,6.656398078632684,0.0,1.0,1567.4569725468205,1189.8210855703671,11.38913166140948
